場所,年月日,所属,曜日,馬名,Ｃ,性別,年齢,調教師,Time1,Time2,Time3,Time4,Lap4,Lap3,Lap2,Lap1,馬番/仮番(出馬表モード時のみ)
美浦,20260830,美浦,日,サリーアン,,牡,3,鈴木伸尋,55.8,40.5,26.0,12.7,15.3,14.5,13.3,12.7,
美浦,20260902,美浦,水,サンクレゾン,,牝,3,大竹正博,55.5,40.0,25.3,12.2,15.5,14.7,13.1,12.2,
栗東,20260902,栗東,水,ジーティーピカソ,,牡,3,宮地貴稔,53.3,37.9,24.7,12.3,15.4,13.2,12.4,12.3,
美浦,20260826,美浦,水,ジーティーブラック,,牡,3,菊沢隆徳,55.4,40.4,26.0,12.3,15.0,14.4,13.7,12.3,
美浦,20260902,美浦,水,ジッピーチューン,,牝,3,林徹,54.6,39.7,25.2,12.1,14.9,14.5,13.1,12.1,
栗東,20260826,栗東,水,ジャスティンアポロ,,牡,3,茶木太樹,53.0,38.5,25.0,12.6,14.5,13.5,12.4,12.6,
栗東,20260902,栗東,水,ジャスティンアポロ,,牡,3,茶木太樹,53.1,39.0,25.7,13.1,14.1,13.3,12.6,13.1,
美浦,20260830,美浦,日,ジャストマイウェイ,,牝,3,奥村武,56.0,40.6,26.2,12.7,15.4,14.4,13.5,12.7,
美浦,20260902,美浦,水,ジャストマイウェイ,,牝,3,奥村武,54.6,40.5,26.1,12.3,14.1,14.4,13.8,12.3,
栗東,20260826,栗東,水,ジャスパーソレイユ,Ｍ,牡,4,森秀行,53.5,39.3,25.2,12.3,14.2,14.1,12.9,12.3,
栗東,20260830,栗東,日,ジャスパーソレイユ,Ｍ,牡,4,森秀行,54.5,39.8,25.3,12.3,14.7,14.5,13.0,12.3,
栗東,20260903,栗東,木,ジャスパーソレイユ,Ｍ,牡,4,森秀行,53.5,38.2,24.4,12.2,15.3,13.8,12.2,12.2,
栗東,20260826,栗東,水,ジャンヌローサ,,牝,5,井上智史,53.8,39.0,25.4,13.1,14.8,13.6,12.3,13.1,
栗東,20260902,栗東,水,シュプレヒコール,,牡,2,清水久詞,55.5,40.2,26.4,12.5,15.3,13.8,13.9,12.5,
栗東,20260827,栗東,木,ショウナンバルドル,,セ,4,須貝尚介,54.0,39.1,25.1,12.4,14.9,14.0,12.7,12.4,
栗東,20260830,栗東,日,ショウナンバルドル,,セ,4,須貝尚介,58.0,41.9,27.1,13.1,16.1,14.8,14.0,13.1,
栗東,20260902,栗東,水,ショウナンバルドル,,セ,4,須貝尚介,53.5,38.1,24.8,12.4,15.4,13.3,12.4,12.4,
美浦,20260826,美浦,水,ジワタネホ,,牝,3,中舘英二,52.3,38.9,25.6,12.6,13.4,13.3,13.0,12.6,
美浦,20260902,美浦,水,ジワタネホ,,牝,3,中舘英二,53.5,39.4,25.6,12.5,14.1,13.8,13.1,12.5,
栗東,20260827,栗東,木,スーパージョック,,牡,4,橋田宜長,53.7,38.2,24.8,12.5,15.5,13.4,12.3,12.5,
栗東,20260902,栗東,水,スーパージョック,,牡,4,橋田宜長,53.6,38.9,25.5,12.6,14.7,13.4,12.9,12.6,
栗東,20260827,栗東,木,ストップザタイム,,セ,7,緒方努,56.0,39.7,25.0,12.3,16.3,14.7,12.7,12.3,
栗東,20260902,栗東,水,ストップザタイム,,セ,7,緒方努,51.9,38.2,25.3,13.2,13.7,12.9,12.1,13.2,
美浦,20260902,美浦,水,スペシャルサンクス,,牝,2,矢嶋大樹,55.0,40.1,26.0,12.8,14.9,14.1,13.2,12.8,
栗東,20260826,栗東,水,スペシャルナンバー,Ｚ,牡,7,西村真幸,54.3,38.8,25.0,12.2,15.5,13.8,12.8,12.2,
栗東,20260830,栗東,日,スペシャルナンバー,Ｚ,牡,7,西村真幸,59.1,42.5,26.6,12.6,16.6,15.9,14.0,12.6,
栗東,20260902,栗東,水,スペシャルナンバー,Ｚ,牡,7,西村真幸,53.0,38.0,24.4,12.0,15.0,13.6,12.4,12.0,
栗東,20260830,栗東,日,スマートメモリー,,牝,2,石坂公一,57.5,41.1,27.0,13.6,16.4,14.1,13.4,13.6,
栗東,20260902,栗東,水,スマートメモリー,,牝,2,石坂公一,55.3,39.6,25.9,13.1,15.7,13.7,12.8,13.1,
美浦,20260902,美浦,水,スマートレイナ,,牝,3,加藤征弘,54.0,39.2,25.7,12.7,14.8,13.5,13.0,12.7,
美浦,20260827,美浦,木,スリーフラワー,,牝,2,伊藤圭三,53.8,38.9,25.4,12.6,14.9,13.5,12.8,12.6,
