阪1,ダ,2970,3, シュエットアムール,(美),加藤和宏,水沼元輝,7,,2,2,21,7,38,2,71,4,192,1,,ゴールドシップ
阪3,ダ,1800,2, ジュンヴァグネル,(栗),浜田多実,幸英明,2,,3,3,38,2,65,1,114,1,197,1,,ジャスタウェイ
中11,ダ,1200,13, ショウナンアビアス,(美),加藤士津,横山武史,11,,2,8,28,11,33,11,100,4,175,4,,ドレフォン
中10,芝,2000,8, ショウナンサムデイ,(美),奥村武,戸崎圭太,5,,2,7,66,1,58,4,98,6,203,3,,サートゥルナーリア
阪2,芝,2000,5, ショウナンバトレニ,(栗),高野友和,松山弘平,1,,6,1,62,1,73,1,65,5,128,5,,エピファネイア
中11,ダ,1200,5, ジョーローリット,(栗),中竹和也,武藤雅,3,,2,8,59,2,46,7,93,5,200,1,,ダノンレジェンド
阪11,芝,2000,15, ジョバンニ,(栗),杉山晴紀,松山弘平,3,,2,11,42,3,71,1,69,11,160,6,,エピファネイア
中4,芝,2000,3, シルバープレミア,(美),西田雄一,上里直汰,12,,2,8,31,8,32,13,80,15,110,15,,ワールドプレミア
阪4,芝,1800,18, シンゼンイセ,(栗),荒川義之,城戸義政,18,,1,11,12,15,17,16,90,11,86,17,,サトノインプレッサ
阪8,芝,1800,8, スウィートリワード,(栗),宮本博,田口貫太,13,,2,8,14,12,33,13,90,5,93,13,,カリフォルニアクローム
中12,ダ,1800,16, スーパーホース,(美),堀内岳志,武藤雅,10,,2,6,15,11,40,8,93,9,105,14,,ディーマジェスティ
阪5,芝,1600,2, スエヒロビリーブ,(栗),四位洋文,坂井瑠星,7,,4,1,26,8,28,6,67,3,144,5,,アドマイヤマーズ
中12,ダ,1800,10, スカイダンスタイム,(美),萱野浩二,遠藤汰月,16,,1,15,8,15,13,15,43,16,25,16,,ビーチパトロール
阪10,ダ,1800,4, スズカダブル,(栗),西村真幸,高杉吏麒,8,,1,15,36,8,23,11,79,6,89,10,,バゴ
阪12,ダ,1200,14, スターフュージョン,(栗),杉山佳明,鮫島克駿,7,,4,3,53,3,68,2,94,7,184,4,,ナダル
阪12,ダ,1200,3, ステライヴ,(栗),杉山晴紀,和田陽希,5,,2,9,31,10,17,15,50,13,68,13,,マクフィ
阪7,ダ,1400,5, スノーガーネット,(栗),中尾秀正,小沢大仁,16,,1,14,11,15,17,14,75,14,112,14,,フィレンツェファイア
中12,ダ,1800,4, スノースコール,(美),加藤征弘,木幡巧也,6,,3,1,24,7,31,10,103,5,117,12,,クリソベリル
中8,芝,2500,2, スノーディーヴァ,(美),深山雅史,長浜鴻緒,11,,1,12,12,12,14,13,42,13,61,13,,エイシンヒカリ
中2,芝,1600,11, スピカテソーロ,(美),伊藤圭三,菊沢一樹,4,,7,1,28,5,47,7,81,6,152,4,,エピファネイア
中3,ダ,1200,6, スマートレイナ,(美),加藤征弘,斎藤新,8,,2,6,44,7,28,13,99,8,186,6,,イスラボニータ
