場所,年月日,所属,曜日,馬名,Ｃ,性別,年齢,調教師,Time1,Time2,Time3,Time4,Lap4,Lap3,Lap2,Lap1,馬番/仮番(出馬表モード時のみ)
栗東,20260819,栗東,水,ケイアイマウンガ,,牡,4,宮本博,51.1,37.4,24.7,12.4,13.7,12.7,12.3,12.4,
美浦,20260819,美浦,水,コスモティタノ,,牡,2,武市康男,53.7,39.0,25.6,12.6,14.7,13.4,13.0,12.6,
栗東,20260819,栗東,水,コトテーラー,,牝,2,緒方努,56.8,40.6,26.4,13.5,16.2,14.2,12.9,13.5,
栗東,20260813,栗東,木,コマチチャン,,牝,3,小椋研介,53.5,38.5,24.6,12.2,15.0,13.9,12.4,12.2,
栗東,20260819,栗東,水,コマチチャン,,牝,3,小椋研介,55.8,40.2,25.6,12.5,15.6,14.6,13.1,12.5,
栗東,20260812,栗東,水,コルソヴェローチェ,,牡,2,高野友和,55.7,40.5,26.0,12.5,15.2,14.5,13.5,12.5,
栗東,20260819,栗東,水,コルソヴェローチェ,,牡,2,高野友和,55.9,40.5,26.1,12.7,15.4,14.4,13.4,12.7,
栗東,20260812,栗東,水,コルドンブルー,,牝,4,松永幹夫,52.3,38.3,25.1,12.6,14.0,13.2,12.5,12.6,
栗東,20260819,栗東,水,コルドンブルー,,牝,4,松永幹夫,54.0,38.8,25.2,12.5,15.2,13.6,12.7,12.5,
栗東,20260816,栗東,日,コンセルノ,,牝,2,高橋義忠,58.0,41.9,26.9,12.8,16.1,15.0,14.1,12.8,
栗東,20260819,栗東,水,コンセルノ,,牝,2,高橋義忠,55.4,39.7,25.8,12.9,15.7,13.9,12.9,12.9,
美浦,20260813,美浦,木,コンテネレッツア,,牝,5,宮田敬介,53.1,38.1,25.0,12.4,15.0,13.1,12.6,12.4,
美浦,20260816,美浦,日,コンテネレッツア,,牝,5,宮田敬介,54.0,38.4,24.8,12.0,15.6,13.6,12.8,12.0,
